Cdp102.40

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   40        25       200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         50          0          0          0       1236          0
    2      45         70         30         40          0       1125         90
    3      42         66         10         20          0       1129         90
    9      38         70         10         10        534        605         90
   10      35         66         10         30        357        410         90
   11      35         69         10         20        448        505         90
   13      22         75         30         10         30         92         90
   16      20         85         40         10        475        528         90
   19      15         80         10         20        278        345         90
   20      30         50         10         10         10         73         90
   23      28         55         10         10        732        777         90
   24      25         50         10         10         65        144         90
   25      25         52         40         10        169        224         90
   26      25         55         10         30          0       1130         90
   32      10         40         30         30         31        100         90
   33       8         40         40         10         87        158         90
   35       5         35         10         10        283        344         90
   36       5         45         10         40        665        716         90
   37       2         40         20         20          0       1106         90
   38       0         40         30         30        479        522         90
   42      33         32         20         30         68        149         90
   43      33         35         10         10         16         80         90
   48      28         30         10         30          0       1122         90
   49      28         35         10         10       1001       1066         90
   50      26         32         10         10          0       1123         90
   53      44          5         20         10        286        347         90
   57      40         15         40         10         35         87         90
   58      38          5         30         10        471        534         90
   59      38         15         10         20          0       1110         90
   61      50         30         10         20        531        610         90
   69      45         35         10         10        916        969         90
   73      92         30         10         10        478        551         90
   76      90         35         10         30        203        260         90
   77      88         30         10         20        574        643         90
   79      87         30         10         10        668        731         90
   83      72         55         10         20          0       1113         90
   85      68         60         30         10          0       1116         90
   88      65         60         30         10        645        708         90
   89      63         58         10         30        737        802         90
   97      60         85         30         10        561        622         90
   98      58         75         20         40          0       1115         90
