Rdp211.80

CUSTOMER  VEHICLE
NUMBER	  NUMBER     CAPACITY
   80        25       1000

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   DDEMAND   PDEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      35         35          0          0          0       1000          0
    1      41         49         10          1        451        974         10
    2      35         17          7         12         18        534         10
    3      55         45         13         25        378        733         10
    4      55         20         19         45        477        965         10
    5      15         30         26         24         20        610         10
    6      25         30          3         35        245        684         10
    7      20         50          5         34        172        569         10
    8      10         43          9         14        245        640         10
    9      55         60         16         11        231        666         10
   11      20         65         12          9         33        511         10
   13      30         25         23         10        462        978         10
   15      30          5          8         37         30        519         10
   16      10         20         19         16        102        543         10
   17       5         30          2         21        444        959         10
   18      20         40         12          5        229        582         10
   19      15         60         17          2         95        552         10
   20      45         65          9         20        418        829         10
   21      45         20         11         19         36        509         10
   23      55          5         29          5         36        514         10
   24      65         35          3         10        435        960         10
   25      65         20          6         15        438        956         10
   26      45         30         17         15        428        827         10
   27      35         40         16         32          5        548         10
   28      41         37         16          4          6        526         10
   29      64         42          9          7         29        513         10
   30      40         60         21          8         91        522         10
   31      31         52         27         11         17        501         10
   32      35         69         23          4        482        955         10
   33      53         52         11          3         24        575         10
   34      65         55         14          6        367        776         10
   37      20         20          8         12        443        856         10
   38       5          5         16          8        130        577         10
   39      60         12         31          8         33        655         10
   40      40         25          9          6        201        596         10
   41      42          7          5          8        219        688         10
   42      24         12          5         11         25        560         10
   43      23          3          7         18        458        867         10
   44      11         14         18         13         59        514         10
   45       6         38         16         12         29        589         10
   46       2         48          1         12        338        805         10
   47       8         56         27          4         34        602         10
   48      13         52         36          8        454        962         10
   49       6         68         30         24        362        679         10
   50      47         47         13          5        379        810         10
   52      27         43          9          9         11        502         10
   54      57         29         18         19        475        900         10
   55      63         23          2          4        441        918         10
   60      17         34          3         14        449        971         10
   61      12         24         13          1        126        541         10
   62      24         58         19         22         25        544         10
   63      27         69         10          4         34        588         10
   64      15         77          9          7         46        524         10
   65      62         77         20          1         49        568         10
   68      56         39         36         33        459        930         10
   70      37         56          5         26        368        968         10
   71      57         68         15         20         98        537         10
   72      47         16         25          8         22        617         10
   74      46         13          8          4        482        965         10
   75      49         11         18         32         62        519         10
   76      49         42         13          2        129        534         10
   77      53         43         14          9        460        970         10
   79      57         48         23          3        230        623         10
   80      56         37          6         29        470        968         10
   81      55         54         26         17        268        599         10
   82      15         47         16         11         23        515         10
   83      14         37         11         37         21        568         10
   84      11         31          7          7        278        669         10
   85      16         22         41         14        213        624         10
   86       4         18         35         40        230        623         10
   87      28         18         26          4        287        580         10
   88      26         52          9         34        104        563         10
   89      26         35         15          2        409        981         10
   90      31         67          3         25        225        654         10
   91      15         19          1          4        469        964         10
   92      22         22          2         25         18        585         10
   93      18         24         22         23        414        969         10
   94      26         27         27         16        283        656         10
   95      25         24         20          3         14        533         10
   97      25         21         12         10        462        823         10
   98      19         21         10          8         21        506         10
