instance name;fleet name;opt?;UB;LB tree;LB root;LB root+cuts;time [s];time root [s];time root+cuts [s];time limit [s];BB nodes;routes
Cdp101;-;true;9721;9721;8960.41;9656.75;288.969;0.471788;31.1729;3600;35;1: (0 5 3 97 100 99 2 1 75 101 ) ,2: (0 7 8 10 11 9 6 4 101 ) ,3: (0 13 17 18 19 15 16 14 12 101 ) ,4: (0 20 46 45 48 51 50 52 49 47 101 ) ,5: (0 24 25 27 29 30 28 26 23 22 21 101 ) ,6: (0 32 33 31 35 37 38 39 36 34 101 ) ,7: (0 43 42 41 40 44 68 69 101 ) ,8: (0 57 55 54 53 56 58 60 59 101 ) ,9: (0 67 65 63 62 74 72 61 64 66 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 101 ) ,11: (0 90 87 86 83 82 84 85 89 101 ) ,12: (0 98 96 95 94 92 93 88 91 101 ) ,
Cdp102;-;false;9424;9421.2;8876.56;9329.64;3600;4.87816;455.37;3600;87;1: (0 7 8 10 11 9 6 4 5 101 ) ,2: (0 13 17 18 19 15 16 14 12 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 35 37 38 39 36 34 101 ) ,5: (0 43 42 46 49 47 101 ) ,6: (0 57 55 54 53 56 58 60 59 101 ) ,7: (0 65 63 62 74 72 61 64 68 66 69 101 ) ,8: (0 67 41 40 44 45 48 51 50 52 31 101 ) ,9: (0 75 1 95 94 92 93 97 100 99 96 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 82 83 91 101 ) ,11: (0 90 87 86 84 85 88 89 98 2 3 101 ) ,
Cdp103;-;true;8957;8956.05;8647.93;8843.58;3319.96;10.5969;766.433;3600;69;1: (0 7 8 10 11 9 6 4 3 101 ) ,2: (0 13 17 18 19 15 16 14 12 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 31 35 37 38 39 36 34 101 ) ,5: (0 42 44 46 45 48 51 50 52 49 47 101 ) ,6: (0 43 41 40 68 69 101 ) ,7: (0 57 55 54 53 56 58 60 59 101 ) ,8: (0 67 65 63 62 74 72 61 64 66 101 ) ,9: (0 81 78 76 71 70 73 77 79 80 82 83 86 101 ) ,10: (0 90 87 84 85 88 89 91 2 1 75 101 ) ,11: (0 98 96 95 94 92 93 97 100 99 5 101 ) ,
Cdp104;-;false;1.00E+11;8671.95;8566.36;8671.95;3600;78.2116;3144.75;3600;1;0
Cdp105;-;false;10082;9865.52;8942.82;9772.16;3600;0.503618;29.5861;3600;223;1: (0 5 3 7 8 10 16 14 12 99 1 75 101 ) ,2: (0 13 17 18 19 15 11 9 6 4 2 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 31 35 37 38 39 36 34 101 ) ,5: (0 42 68 66 69 101 ) ,6: (0 43 41 40 44 46 45 48 51 50 52 49 47 101 ) ,7: (0 57 55 54 53 56 58 60 59 101 ) ,8: (0 67 65 63 62 74 72 61 64 80 101 ) ,9: (0 81 78 76 71 70 73 77 79 101 ) ,10: (0 90 87 86 83 82 84 85 88 89 91 101 ) ,11: (0 98 96 95 94 92 93 97 100 101 ) ,
Cdp106;-;true;8865;8865;8680.82;8865;7.70936;0.886132;7.70931;3600;1;1: (0 5 3 7 8 10 11 9 6 4 2 75 101 ) ,2: (0 13 17 18 19 15 16 14 12 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 31 35 37 38 39 36 34 101 ) ,5: (0 43 42 45 48 51 50 52 101 ) ,6: (0 57 55 54 53 56 58 60 59 101 ) ,7: (0 63 62 74 72 61 64 68 66 69 101 ) ,8: (0 65 67 41 40 44 46 49 47 101 ) ,9: (0 81 78 76 71 70 73 77 79 80 101 ) ,10: (0 90 87 86 83 82 84 85 88 89 91 101 ) ,11: (0 98 96 95 94 92 93 97 100 99 1 101 ) ,
Cdp107;-;true;9172;9171.44;8746.3;9091.14;2245.05;0.708085;121.502;3600;115;1: (0 5 3 101 ) ,2: (0 7 8 10 11 9 6 4 2 1 75 101 ) ,3: (0 13 17 18 19 15 16 14 12 101 ) ,4: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,5: (0 32 33 31 35 37 38 39 36 34 101 ) ,6: (0 42 44 46 45 48 51 50 52 49 47 101 ) ,7: (0 43 41 40 62 74 72 61 64 68 66 69 101 ) ,8: (0 57 55 54 53 56 58 60 59 101 ) ,9: (0 67 65 63 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 101 ) ,11: (0 90 87 86 83 82 84 85 88 89 101 ) ,12: (0 98 96 95 94 92 93 97 100 99 91 101 ) ,
Cdp108;-;false;1.00E+11;9239.76;8718.9;9105.37;3600;2.13309;328.205;3600;261;0
Cdp109;-;true;9169;9169;8745.28;9116.61;978.393;1.95044;632.863;3600;7;1: (0 3 98 96 95 94 92 93 97 100 99 101 ) ,2: (0 5 7 8 13 11 10 6 4 75 2 1 101 ) ,3: (0 17 18 15 19 16 14 12 9 101 ) ,4: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,5: (0 32 33 31 35 37 38 39 36 34 101 ) ,6: (0 41 40 55 54 53 56 58 60 59 69 101 ) ,7: (0 43 42 44 57 45 46 48 51 50 52 49 47 101 ) ,8: (0 67 65 63 62 74 72 61 64 68 101 ) ,9: (0 86 81 78 76 71 70 73 77 79 80 66 101 ) ,10: (0 90 87 83 82 84 85 88 89 91 101 ) ,
Cdp201;-;false;1.00E+11;-2.50E+13;-2.50E+13;-1.00E+09;3600;3600;3600;3600;1;0
