instance name;fleet name;opt?;RN solved?;UB;LB tree;LB root;LB root+cuts;time [s];time root [s];time root+cuts [s];time limit [s];BB nodes;routes;Pieces RN;Pieces BPC
Cdp101;1vehc1pcs100perc;true;true;17030.55;17030.55;16144.1;17030.6;45.1376;0.508572;45.1374;3600;1;1: (0 5 3 7 8 23 101 ) ,2: (0 10 11 9 6 4 2 1 75 101 ) ,3: (0 13 17 18 19 15 16 14 12 101 ) ,4: (0 20 24 25 27 29 30 28 26 22 21 101 ) ,5: (0 32 33 31 35 37 38 39 36 34 101 ) ,6: (0 43 42 41 40 68 69 101 ) ,7: (0 44 46 45 48 51 50 52 49 47 101 ) ,8: (0 57 55 54 53 56 58 60 59 101 ) ,9: (0 67 65 63 62 74 72 61 64 66 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 101 ) ,11: (0 90 87 86 83 82 84 85 89 101 ) ,12: (0 96 95 94 92 93 97 100 99 101 ) ,13: (0 98 88 91 101 ) ,;0,293755,0,0,0,0,0,0,0,0;0,15169231,0,0,0,0,0,0,0,0
Cdp102;1vehc1pcs100perc;true;true;16755.8;16755.8;16014.7;16755.8;90.1281;2.65771;90.126;3600;1;1: (0 7 8 10 11 9 6 4 3 101 ) ,2: (0 13 17 18 19 15 16 14 12 101 ) ,3: (0 20 24 29 31 52 49 47 101 ) ,4: (0 21 25 27 30 28 26 23 22 101 ) ,5: (0 32 33 35 37 38 39 36 34 101 ) ,6: (0 43 42 41 40 44 46 45 48 51 50 101 ) ,7: (0 57 55 54 53 56 58 60 59 101 ) ,8: (0 67 65 63 62 74 61 64 68 66 69 101 ) ,9: (0 75 100 99 2 1 5 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 72 101 ) ,11: (0 90 87 86 83 82 84 85 88 89 91 101 ) ,12: (0 95 94 92 93 97 96 98 101 ) ,;0,940640,0,0,0,0,0,0,0,0;0,30098108,0,0,0,0,0,0,0,0
Cdp103;1vehc1pcs100perc;true;true;16190.1;16190.1;15818;16180.5;182.542;16.9548;153.736;3600;3;1: (0 8 10 11 9 6 7 101 ) ,2: (0 13 17 18 19 15 16 14 12 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 31 35 37 38 39 36 34 101 ) ,5: (0 43 42 41 40 68 69 101 ) ,6: (0 47 46 44 45 48 51 50 52 49 101 ) ,7: (0 57 55 54 53 56 58 60 59 101 ) ,8: (0 67 65 63 62 74 72 61 64 66 101 ) ,9: (0 75 1 2 4 3 5 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 82 83 101 ) ,11: (0 90 87 86 84 85 88 89 91 101 ) ,12: (0 98 96 95 94 92 93 97 100 99 101 ) ,;0,6253941,0,0,0,0,0,0,0,0;0,69151480,0,0,0,0,0,0,0,0
Cdp104;1vehc1pcs100perc;true;true;15834.3;15834.3;15669.8;15834.3;767.962;73.0517;767.958;3600;1;1: (0 3 7 8 11 9 6 4 2 1 75 101 ) ,2: (0 13 17 18 19 15 16 14 12 10 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 31 35 37 38 39 36 34 101 ) ,5: (0 41 40 44 42 43 101 ) ,6: (0 46 45 48 51 50 52 49 47 101 ) ,7: (0 57 55 54 53 56 58 60 59 101 ) ,8: (0 67 63 62 74 72 61 64 68 66 69 101 ) ,9: (0 81 78 76 71 70 73 77 79 80 65 101 ) ,10: (0 91 87 86 83 82 84 85 88 89 90 101 ) ,11: (0 96 95 94 92 93 97 100 99 98 5 101 ) ,;0,21272788,0,0,0,0,0,0,0,0;0,235511393,0,0,0,0,0,0,0,0
Cdp105;1vehc1pcs100perc;true;true;17430.3;17430.3;16210.7;17394;258.888;0.95794;35.499;3600;77;1: (0 5 3 7 8 10 11 9 6 4 2 75 101 ) ,2: (0 13 17 18 19 15 16 14 12 1 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 31 35 37 38 39 36 34 101 ) ,5: (0 41 40 68 69 101 ) ,6: (0 43 42 44 46 45 48 51 50 52 49 47 101 ) ,7: (0 57 55 54 53 56 58 60 59 101 ) ,8: (0 67 65 63 62 74 72 61 64 66 101 ) ,9: (0 81 78 76 71 70 73 77 79 101 ) ,10: (0 90 87 86 83 84 85 88 89 91 101 ) ,11: (0 96 95 94 92 93 97 100 99 101 ) ,12: (0 98 82 80 101 ) ,;0,571335,0,0,0,0,0,0,0,0;0,66433195,0,0,0,0,0,0,0,0
Cdp106;1vehc1pcs100perc;true;true;16115.2;16115.2;15886;16115.2;7.76583;1.00256;7.76565;3600;1;1: (0 5 3 7 8 10 11 9 6 4 2 75 101 ) ,2: (0 13 17 18 19 15 16 14 12 101 ) ,3: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,4: (0 32 33 31 35 37 38 39 36 34 101 ) ,5: (0 43 42 44 45 48 51 50 52 101 ) ,6: (0 57 55 54 53 56 58 60 59 101 ) ,7: (0 63 62 74 72 61 64 68 66 69 101 ) ,8: (0 65 67 41 40 46 49 47 101 ) ,9: (0 81 78 76 71 70 73 77 79 80 101 ) ,10: (0 90 87 86 83 82 84 85 88 89 91 101 ) ,11: (0 98 96 95 94 92 93 97 100 99 1 101 ) ,;0,668097,0,0,0,0,0,0,0,0;0,5553800,0,0,0,0,0,0,0,0
Cdp107;1vehc1pcs100perc;true;true;16271.2;16271.2;15905;16271.2;16.4475;1.34691;16.4473;3600;1;1: (0 5 3 7 8 101 ) ,2: (0 10 11 9 6 4 2 1 75 101 ) ,3: (0 13 17 18 19 15 16 14 12 101 ) ,4: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,5: (0 32 33 31 35 37 38 39 36 34 101 ) ,6: (0 41 44 46 45 48 51 50 52 49 47 101 ) ,7: (0 43 42 40 68 69 101 ) ,8: (0 57 55 54 53 56 58 60 59 101 ) ,9: (0 67 65 63 62 74 72 61 64 66 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 101 ) ,11: (0 90 87 86 83 82 84 85 88 89 101 ) ,12: (0 98 96 95 94 92 93 97 100 99 91 101 ) ,;0,809834,0,0,0,0,0,0,0,0;0,10023046,0,0,0,0,0,0,0,0
Cdp108;1vehc1pcs100perc;true;true;16655;16655;16107.4;16643.7;109.417;1.20689;65.2906;3600;9;1: (0 5 3 7 8 9 6 4 2 1 75 101 ) ,2: (0 13 11 10 101 ) ,3: (0 17 18 19 15 16 14 12 101 ) ,4: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,5: (0 32 33 31 35 37 38 39 36 34 101 ) ,6: (0 41 40 42 44 46 45 48 51 50 52 49 47 101 ) ,7: (0 43 67 101 ) ,8: (0 55 54 57 53 56 58 60 59 101 ) ,9: (0 65 63 62 74 72 61 64 68 66 69 101 ) ,10: (0 81 78 76 71 70 73 77 79 80 101 ) ,11: (0 90 87 86 83 82 84 85 88 89 91 101 ) ,12: (0 98 96 95 94 92 93 97 100 99 101 ) ,;0,557163,0,0,0,0,0,0,0,0;0,41032737,0,0,0,0,0,0,0,0
Cdp109;1vehc1pcs100perc;true;true;16585.2;16585.2;15980;16585.2;86.6714;3.68664;86.6712;3600;1;1: (0 5 3 7 8 9 6 4 2 1 75 101 ) ,2: (0 15 16 14 12 11 101 ) ,3: (0 18 19 17 13 10 101 ) ,4: (0 20 24 25 27 29 30 28 26 23 22 21 101 ) ,5: (0 32 33 31 35 37 38 39 36 34 101 ) ,6: (0 41 42 44 40 68 69 101 ) ,7: (0 43 46 45 48 51 50 52 49 47 101 ) ,8: (0 57 55 54 53 56 58 60 59 101 ) ,9: (0 67 65 63 62 74 72 61 64 66 101 ) ,10: (0 86 81 78 76 71 70 73 77 79 80 101 ) ,11: (0 90 87 83 82 84 85 88 89 91 101 ) ,12: (0 98 96 95 94 92 93 97 100 99 101 ) ,;0,2201134,0,0,0,0,0,0,0,0;0,50382722,0,0,0,0,0,0,0,0
Cdp201;1vehc1pcs100perc;true;true;10268.9;10268.9;10209;10268.9;49.6186;26.3525;49.6184;3600;1;1: (0 20 24 29 6 32 33 31 35 37 38 39 36 34 28 26 23 25 21 101 ) ,2: (0 22 27 30 18 19 16 14 12 15 17 13 9 11 10 8 101 ) ,3: (0 67 63 62 74 72 61 64 66 69 101 ) ,4: (0 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 43 42 41 48 101 ) ,5: (0 88 84 86 83 82 85 76 71 70 73 80 79 81 78 77 96 87 101 ) ,6: (0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 91 90 101 ) ,;0,10276238,0,0,0,0,0,0,0,0;0,19161102,0,0,0,0,0,0,0,0
